Date,NO3,NH4
8/2/2016 12:59,0.03,0.449755687
8/2/2016 13:29,0.03,0.37782754
8/2/2016 13:59,0.03,0.379156304
8/2/2016 14:29,0.03,0.394480792
8/2/2016 14:59,0.03,0.328915395
8/2/2016 15:29,0.03,0.350311968
8/2/2016 15:59,0.03,0.390083604
8/2/2016 16:29,0.03,0.310204811
8/2/2016 16:59,0.03,0.327583844
8/2/2016 17:29,0.0932298,0.52270163
8/2/2016 17:59,1.5857992,1.252198509
8/2/2016 18:29,0.4273138,0.674503502
8/2/2016 18:59,0.6130252,0.770639787
8/2/2016 19:29,0.6582248,0.913479596
8/2/2016 19:59,0.6631378,0.839427479
8/2/2016 20:29,0.6670682,0.494907556
8/2/2016 20:59,0.6169556,0.670538661
8/2/2016 21:29,0.5904254,0.588080324
8/2/2016 21:59,0.5462084,0.635136011
8/2/2016 22:29,0.5019914,0.566243474
8/2/2016 22:59,0.41454,0.511921478
8/2/2016 23:29,0.3821142,0.423292966
8/2/2016 23:59,0.331019,0.430178027
8/3/2016 0:29,0.2956454,0.366165101
8/3/2016 0:59,0.26715,0.302152174
8/3/2016 1:29,0.2504458,0.421897091
8/3/2016 1:59,0.1570988,0.355131826
8/3/2016 2:29,0.1531684,0.312058409
8/3/2016 2:59,0.1069862,0.240115508
8/3/2016 3:29,0.03,0.155781908
8/3/2016 3:59,0.0834038,0.207569467
8/3/2016 4:29,0.1551336,0.12862245
8/3/2016 4:59,0.03,0.277167065
8/3/2016 5:29,0.060804,0.232719625
8/3/2016 5:59,0.03,0.201640561
8/3/2016 6:29,0.129586,0.532785907
8/3/2016 6:59,0.154151,0.511425711
8/3/2016 7:29,0.1364642,0.610896649
8/3/2016 7:59,0.0676822,0.420993149
8/3/2016 8:29,0.065717,0.492781576
8/3/2016 8:59,0.03,0.455895804
8/3/2016 9:29,0.03,0.373616033
8/3/2016 9:59,0.03,0.301399942
8/3/2016 10:29,0.03,0.300247644
8/3/2016 10:59,0.03,0.354106258
8/3/2016 11:29,0.03,0.250385412
8/3/2016 11:59,0.1325338,0.53386192
8/3/2016 12:29,0.03,0.332195056
8/3/2016 12:59,0.03,0.196687076
8/3/2016 13:29,0.03,0.192722745
8/3/2016 13:59,0.03,0.159324363
8/3/2016 14:29,0.03,0.173587042
8/3/2016 14:59,0.03,0.214727847
8/3/2016 15:29,0.03,0.146257714
8/3/2016 15:59,0.03,0.153978541
8/3/2016 16:29,0.03,0.147461567
8/3/2016 16:59,0.03,0.197720206
8/3/2016 17:29,0.03,0.148590453
8/3/2016 17:59,0.03,0.346233196
8/3/2016 18:29,0.03,0.295370042
8/3/2016 18:59,0.03,0.244506888
8/3/2016 19:29,0.03,0.19644929
8/3/2016 19:59,0.03,0.199953342
8/3/2016 20:29,0.03,0.187864223
8/3/2016 20:59,0.03,0.304815921
8/3/2016 21:29,0.03,0.325328996
8/3/2016 21:59,0.03,0.269016871
8/3/2016 22:29,0.03,0.467584683
8/3/2016 22:59,0.03,0.310900486
8/3/2016 23:29,0.03,0.306934543
8/3/2016 23:59,0.03,0.342317899
8/4/2016 0:29,0.03,0.363501269
8/4/2016 0:59,0.03,0.415528973
8/4/2016 1:29,0.03,0.349650983
8/4/2016 1:59,0.03,0.374848427
8/4/2016 2:29,0.03,0.366774649
8/4/2016 2:59,0.03,0.359889191
8/4/2016 3:29,0.03,0.451463429
8/4/2016 3:59,0.03,0.388146262
8/4/2016 4:29,0.03,0.406518196
8/4/2016 4:59,0.03,0.423057494
8/4/2016 5:29,0.03,0.409395671
8/4/2016 5:59,0.03,0.363150625
8/4/2016 6:29,0.03,0.446553587
8/4/2016 6:59,0.03,0.462672567
8/4/2016 7:29,0.03,0.417150977
8/4/2016 7:59,0.03,0.393341166
8/4/2016 8:29,0.03,0.471994006
8/4/2016 8:59,0.03,0.44702748
8/4/2016 9:29,0.03,0.381430678
8/4/2016 9:59,0.03,0.381658244
8/4/2016 10:29,0.03,0.396202265
8/4/2016 10:59,0.03,0.372477555
8/4/2016 11:29,0.03,0.446827102
8/4/2016 11:59,0.03,0.455800744
8/4/2016 12:29,0.03,0.396807236
8/4/2016 12:59,0.03,0.313350863
8/4/2016 13:29,0.03,0.38007818
8/4/2016 13:59,0.03,0.346334489
8/4/2016 14:29,0.1698726,0.484554124
8/4/2016 14:59,0.03,0.344795239
8/4/2016 15:29,0.03,0.472469189
8/4/2016 15:59,0.03,0.481536546
8/4/2016 16:29,0.03,0.404887595
8/4/2016 16:59,0.03,0.351338523
8/4/2016 17:29,0.03,0.472333247
8/4/2016 17:59,0.03,0.394395158
8/4/2016 18:29,0.03,0.351340289
8/4/2016 18:59,0.03,0.385951958
8/4/2016 19:29,0.03,0.335818955
8/4/2016 19:59,0.03,0.375973511
8/4/2016 20:29,0.03,0.481129424
8/4/2016 20:59,0.0716126,0.518826012
8/4/2016 21:29,0.0775082,0.47656137
8/4/2016 21:59,0.03,0.481841479
8/4/2016 22:29,0.03,0.39489586
8/4/2016 22:59,0.03,0.376006736
8/4/2016 23:29,0.03,0.399092692
8/4/2016 23:59,0.03,0.425403867
8/5/2016 0:29,0.03,0.440002206
8/5/2016 0:59,0.03,0.503452194
