Date_Time,CorrectedWL_m,Condition
7/13/2016 13:30,1.191,OFF
7/13/2016 13:45,1.188,OFF
7/13/2016 14:00,1.19,OFF
7/13/2016 14:15,1.19,OFF
7/13/2016 14:30,1.189,OFF
7/13/2016 14:45,1.192,OFF
7/13/2016 15:00,1.19,OFF
7/13/2016 15:15,1.191,OFF
7/13/2016 15:30,1.19,OFF
7/13/2016 15:45,1.19,OFF
7/13/2016 16:00,1.189,OFF
7/13/2016 16:15,1.191,OFF
7/13/2016 16:30,1.19,OFF
7/13/2016 16:45,1.19,OFF
7/13/2016 17:00,1.191,OFF
7/13/2016 17:15,1.188,OFF
7/13/2016 17:30,1.187,OFF
7/13/2016 17:45,1.188,OFF
7/13/2016 18:00,1.188,OFF
7/13/2016 18:15,1.188,OFF
7/13/2016 18:30,1.19,OFF
7/13/2016 18:45,1.19,OFF
7/13/2016 19:00,1.19,OFF
7/13/2016 19:15,1.192,OFF
7/13/2016 19:30,1.193,OFF
7/13/2016 19:45,1.189,OFF
7/13/2016 20:00,1.19,OFF
7/13/2016 20:15,1.189,OFF
7/13/2016 20:30,1.191,OFF
7/13/2016 20:45,1.19,OFF
7/13/2016 21:00,1.191,OFF
7/13/2016 21:15,1.191,OFF
7/13/2016 21:30,1.191,OFF
7/13/2016 21:45,1.191,OFF
7/13/2016 22:00,1.191,OFF
7/13/2016 22:15,1.189,OFF
7/13/2016 22:30,1.19,OFF
7/13/2016 22:45,1.191,OFF
7/13/2016 23:00,1.189,OFF
7/13/2016 23:15,1.19,OFF
7/13/2016 23:30,1.19,OFF
7/13/2016 23:45,1.189,OFF
7/14/2016 0:00,1.189,OFF
7/14/2016 0:15,1.188,OFF
7/14/2016 0:30,1.191,OFF
7/14/2016 0:45,1.189,OFF
7/14/2016 1:00,1.191,OFF
7/14/2016 1:15,1.19,OFF
7/14/2016 1:30,1.19,OFF
7/14/2016 1:45,1.19,OFF
7/14/2016 2:00,1.19,OFF
7/14/2016 2:15,1.189,OFF
7/14/2016 2:30,1.19,OFF
7/14/2016 2:45,1.191,OFF
7/14/2016 3:00,1.19,OFF
7/14/2016 3:15,1.191,OFF
7/14/2016 3:30,1.189,OFF
7/14/2016 3:45,1.19,OFF
7/14/2016 4:00,1.19,OFF
7/14/2016 4:15,1.189,OFF
7/14/2016 4:30,1.187,OFF
7/14/2016 4:45,1.187,OFF
7/14/2016 5:00,1.189,OFF
7/14/2016 5:15,1.189,OFF
7/14/2016 5:30,1.191,OFF
7/14/2016 5:45,1.19,OFF
7/14/2016 6:00,1.191,OFF
7/14/2016 6:15,1.191,OFF
7/14/2016 6:30,1.189,OFF
7/14/2016 6:45,1.187,OFF
7/14/2016 7:00,1.188,OFF
7/14/2016 7:15,1.19,OFF
7/14/2016 7:30,1.189,OFF
7/14/2016 7:45,1.188,OFF
7/14/2016 8:00,1.187,OFF
7/14/2016 8:15,1.187,OFF
7/14/2016 8:30,1.189,OFF
7/14/2016 8:45,1.187,OFF
7/14/2016 9:00,1.189,OFF
7/14/2016 9:15,1.186,OFF
7/14/2016 9:30,1.188,OFF
7/14/2016 9:45,1.185,OFF
7/14/2016 10:00,1.185,OFF
7/14/2016 10:15,1.188,OFF
7/14/2016 10:30,1.186,OFF
7/14/2016 10:45,1.187,OFF
7/14/2016 11:00,1.188,OFF
7/14/2016 11:15,1.185,OFF
7/14/2016 11:30,1.187,OFF
7/14/2016 11:45,1.187,OFF
7/14/2016 12:00,1.185,OFF
7/14/2016 12:15,1.186,OFF
7/14/2016 12:30,1.185,OFF
7/14/2016 12:45,1.186,OFF
7/14/2016 13:00,1.186,OFF
7/14/2016 13:15,1.19,OFF
7/14/2016 13:30,1.186,OFF
