"","Date","WL","Cond","NO3","NH4","Flow","NO3E","NH4E","water","NO3C","NH4C","waterin","waterin2","watercm2"
"16408",2017-01-01,1.533,"OFF",0.1708552,0.005,0,0,0,0,0,0,0,0,0
"16409",2017-01-01 00:15:00,1.535,"OFF",0.1782247,0.005,0,0,0,0,0,0,0,0,0
"16410",2017-01-01 00:30:00,1.535,"OFF",0.1855942,0.005,0,0,0,0,0,0,0,0,0
"16411",2017-01-01 00:45:00,1.534,"OFF",0.1870681,0.005,0,0,0,0,0,0,0,0,0
"16412",2017-01-01 01:00:00,1.536,"OFF",0.188542,0.005,0,0,0,0,0,0,0,0,0
"16413",2017-01-01 01:15:00,1.534,"OFF",0.1870681,0.005,0,0,0,0,0,0,0,0,0
"16414",2017-01-01 01:30:00,1.534,"OFF",0.1855942,0.005,0,0,0,0,0,0,0,0,0
"16415",2017-01-01 01:45:00,1.537,"OFF",0.1723291,0.005,0,0,0,0,0,0,0,0,0
"16416",2017-01-01 02:00:00,1.535,"OFF",0.159064,0.005,0,0,0,0,0,0,0,0,0
"16417",2017-01-01 02:15:00,1.538,"OFF",0.1615205,0.005,0,0,0,0,0,0,0,0,0
"16418",2017-01-01 02:30:00,1.537,"OFF",0.163977,0.005,0,0,0,0,0,0,0,0,0
"16419",2017-01-01 02:45:00,1.538,"OFF",0.1698726,0.005,0,0,0,0,0,0,0,0,0
"16420",2017-01-01 03:00:00,1.538,"OFF",0.1757682,0.005,0,0,0,0,0,0,0,0,0
"16421",2017-01-01 03:15:00,1.536,"OFF",0.1723291,0.005,0,0,0,0,0,0,0,0,0
"16422",2017-01-01 03:30:00,1.539,"OFF",0.16889,0.005,0,0,0,0,0,0,0,0,0
"16423",2017-01-01 03:45:00,1.539,"OFF",0.1713465,0.005,0,0,0,0,0,0,0,0,0
"16424",2017-01-01 04:00:00,1.537,"OFF",0.173803,0.005,0,0,0,0,0,0,0,0,0
"16425",2017-01-01 04:15:00,1.537,"OFF",0.173803,0.005,0,0,0,0,0,0,0,0,0
"16426",2017-01-01 04:30:00,1.537,"OFF",0.173803,0.005,0,0,0,0,0,0,0,0,0
"16427",2017-01-01 04:45:00,1.538,"OFF",0.16889,0.005,0,0,0,0,0,0,0,0,0
"16428",2017-01-01 05:00:00,1.54,"OFF",0.163977,0.005,0,0,0,0,0,0,0,0,0
"16429",2017-01-01 05:15:00,1.539,"OFF",0.1811725,0.005,0,0,0,0,0,0,0,0,0
"16430",2017-01-01 05:30:00,1.538,"OFF",0.198368,0.005,0,0,0,0,0,0,0,0,0
"16431",2017-01-01 05:45:00,1.538,"OFF",0.1752769,0.005,0,0,0,0,0,0,0,0,0
"16432",2017-01-01 06:00:00,1.537,"OFF",0.1521858,0.005,0,0,0,0,0,0,0,0,0
"16433",2017-01-01 06:15:00,1.538,"OFF",0.1644683,0.005,0,0,0,0,0,0,0,0,0
"16434",2017-01-01 06:30:00,1.539,"OFF",0.1767508,0.005,0,0,0,0,0,0,0,0,0
"16435",2017-01-01 06:45:00,1.539,"OFF",0.1733117,0.0097191245,0,0,0,0,0,0,0,0,0
"16436",2017-01-01 07:00:00,1.536,"OFF",0.1698726,0.014438249,0,0,0,0,0,0,0,0,0
"16437",2017-01-01 07:15:00,1.536,"OFF",0.1772421,0.0097191245,0,0,0,0,0,0,0,0,0
"16438",2017-01-01 07:30:00,1.537,"OFF",0.1846116,0.005,0,0,0,0,0,0,0,0,0
"16439",2017-01-01 07:45:00,1.538,"OFF",0.1865768,0.005,0,0,0,0,0,0,0,0,0
"16440",2017-01-01 08:00:00,1.538,"OFF",0.188542,0.005,0,0,0,0,0,0,0,0,0
"16441",2017-01-01 08:15:00,1.537,"OFF",0.1924724,0.005,0,0,0,0,0,0,0,0,0
"16442",2017-01-01 08:30:00,1.538,"OFF",0.1964028,0.005,0,0,0,0,0,0,0,0,0
"16443",2017-01-01 08:45:00,1.538,"OFF",0.1914898,0.005,0,0,0,0,0,0,0,0,0
"16444",2017-01-01 09:00:00,1.538,"OFF",0.1865768,0.005,0,0,0,0,0,0,0,0,0
"16445",2017-01-01 09:15:00,1.537,"OFF",0.1855942,0.005,0,0,0,0,0,0,0,0,0
"16446",2017-01-01 09:30:00,1.536,"OFF",0.1846116,0.005,0,0,0,0,0,0,0,0,0
